ID,LID,Width,Color,type,LinkID
197,197,0.15,W,0,29413
198,198,0.15,Y,0,12588
199,199,0.15,Y,0,12567
200,200,0.15,Y,0,12546
201,201,0.15,Y,0,12525
202,202,0.15,Y,0,12505
203,203,0.15,Y,0,12484
204,204,0.15,Y,0,12464
205,205,0.15,Y,0,12443
206,206,0.15,Y,0,12423
207,207,0.15,Y,0,12403
208,208,0.15,Y,0,12383
209,209,0.15,Y,0,12362
210,210,0.15,Y,0,12342
211,211,0.15,Y,0,11183
212,212,0.15,Y,0,11163
213,213,0.15,Y,0,11143
214,214,0.15,W,0,12588
215,215,0.15,W,0,12567
216,216,0.15,W,0,12546
217,217,0.15,W,0,12525
218,218,0.15,W,0,12504
219,219,0.15,W,0,12484
220,220,0.15,W,0,12463
221,221,0.15,W,0,12443
222,222,0.15,W,0,12423
223,223,0.15,W,0,12403
224,224,0.15,W,0,12383
225,225,0.15,W,0,12363
226,226,0.15,W,0,12342
227,227,0.15,W,0,12322
228,228,0.15,W,0,12302
229,229,0.15,W,0,12282
230,230,0.15,W,0,1535
231,231,0.15,W,0,1615
232,232,0.15,W,0,1695
233,233,0.15,W,0,1776
234,234,0.15,W,0,2995
235,235,0.15,W,0,3075
236,236,0.15,W,0,3155
237,237,0.15,W,0,1776
238,238,0.15,W,0,2995
239,239,0.15,W,0,5993
240,240,0.15,W,0,6073
241,241,0.15,W,0,6154
242,242,0.15,W,0,8831
243,243,0.15,W,0,8911
244,244,0.15,W,0,8991
245,245,0.15,W,0,9072
246,246,0.15,Y,0,8831
247,247,0.15,Y,0,8911
248,248,0.15,Y,0,8991
249,249,0.15,Y,0,9072
250,250,0.15,Y,0,19950
251,251,0.15,Y,0,19870
252,252,0.15,Y,0,19790
253,253,0.15,Y,0,19710
254,254,0.15,W,0,19950
255,255,0.15,W,0,19870
256,256,0.15,W,0,19790
257,257,0.15,W,0,19710
258,258,0.15,W,0,25787
259,259,0.15,W,0,22788
260,260,0.15,W,0,25626
261,261,0.15,W,0,25546
262,262,0.15,W,0,25787
263,263,0.15,W,0,25706
264,264,0.15,W,0,25626
265,265,0.15,W,0,12640
266,266,0.15,W,0,12881
267,267,0.15,W,0,12800
268,268,0.15,W,0,12720
269,269,0.15,W,0,12640
270,270,0.15,W,0,12942
271,271,0.15,W,0,12990
272,272,0.15,W,0,13041
273,273,0.15,W,0,13089
274,274,0.15,W,0,12946
275,275,0.15,W,0,13699
276,276,0.15,W,0,13746
277,277,0.15,W,0,13794
278,278,0.15,W,0,13651
279,279,0.15,W,0,13699
280,280,0.15,W,0,13746
281,281,0.15,W,0,13794
